Anio,Mes,Procuraduria,Total,Fecha
2022,JUNIO,CD. JUAREZ,1798,2022-06-01
2022,JUNIO,CD. VICTORIA,245,2022-06-01
2022,JUNIO,CHETUMAL,3,2022-06-01
2022,JUNIO,CHIHUAHUA,1293,2022-06-01
2022,JUNIO,COATZACOALCOS,1186,2022-06-01
2022,JUNIO,COLIMA,388,2022-06-01
2022,JUNIO,CUERNAVACA,691,2022-06-01
2022,JUNIO,CULIACAN,1551,2022-06-01
2022,JUNIO,CIUDAD DE MEXICO,11043,2022-06-01
2022,JUNIO,DURANGO,637,2022-06-01
2022,JUNIO,ENSENADA,466,2022-06-01
2022,JUNIO,GUADALAJARA,2300,2022-06-01
2022,JUNIO,GUANAJUATO,1616,2022-06-01
2022,JUNIO,HERMOSILLO,1351,2022-06-01
2022,JUNIO,JALAPA,1003,2022-06-01
2022,JUNIO,LA PAZ,847,2022-06-01
2022,JUNIO,MERIDA,637,2022-06-01
2022,JUNIO,MONTERREY,927,2022-06-01
2022,JUNIO,MORELIA,399,2022-06-01
2022,JUNIO,OAXACA,425,2022-06-01
2022,JUNIO,ORIZABA,655,2022-06-01
2022,JUNIO,PACHUCA,1641,2022-06-01
2022,JUNIO,PARRAL,206,2022-06-01
2022,JUNIO,POZA RICA,740,2022-06-01
2022,JUNIO,PUEBLA,1992,2022-06-01
2022,JUNIO,QUERETARO,3480,2022-06-01
2022,JUNIO,REYNOSA,474,2022-06-01
2022,JUNIO,SALTILLO,1036,2022-06-01
2022,JUNIO,SAN LUIS POTOSI,444,2022-06-01
2022,JUNIO,TAMPICO,821,2022-06-01
2022,JUNIO,TEPIC,518,2022-06-01
2022,JUNIO,TIJUANA,1064,2022-06-01
2022,JUNIO,TLAXCALA,477,2022-06-01
2022,JUNIO,TOLUCA,1028,2022-06-01
2022,JUNIO,TORREON,1227,2022-06-01
2022,JUNIO,TUXTLA GTEZ.,642,2022-06-01
2022,JUNIO,VERACRUZ,521,2022-06-01
2022,JUNIO,VILLAHERMOSA,852,2022-06-01
2022,JUNIO,ZACATECAS,173,2022-06-01
2022,DICIEMBRE,ACAPULCO,390,2022-12-01
2022,DICIEMBRE,AGUASCALIENTES,172,2022-12-01
2022,DICIEMBRE,AZCAPOTZALCO (JFCA),0,2022-12-01
2022,DICIEMBRE,CAMPECHE,186,2022-12-01
2022,DICIEMBRE,CANANEA,175,2022-12-01
2022,DICIEMBRE,CANCUN Q. ROO,323,2022-12-01
2022,DICIEMBRE,CD. DEL CARMEN,193,2022-12-01
